Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
J V EQUITIES PRIVATE LIMITED,INZ000100131,Registered Stock Brokers in Equity Derivative Segment,jvequities@gmail.com,0919824509090,,"201, SOLITAIRE BUILDING, NEAR MUNICIPAL COMMISSION BUNGLOW, RAMKRISHNA NAGAR MAIN ROAD,",,,"Jan 17, 2017 - Perpetual",J V EQUITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J V EQUITIES PRIVATE LIMITED,INZ000100131,Registered Stock Brokers in equity segment,jvequities@gmail.com,0919824509090,,"201, SOLITAIRE BUILDING, NEAR MUNICIPAL COMMISSION BUNGLOW, RAMKRISHNA NAGAR MAIN ROAD,",,,"Jan 17, 2017 - Perpetual",J V EQUITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J V EQUITIES PRIVATE LIMITED,INZ000100131,Registered Stock Brokers in Equity Derivative Segment,jvequities@gmail.com,0919824509090,,"201, SOLITAIRE BUILDING, NEAR MUNICIPAL COMMISSION BUNGLOW, RAMKRISHNA NAGAR MAIN ROAD,",,,"Jan 17, 2017 - Perpetual",J V EQUITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J V EQUITIES PRIVATE LIMITED,INZ000100131,Registered Stock Brokers in Currency Derivative Segment,jvequities@gmail.com,0919824509090,,"201, SOLITAIRE BUILDING, NEAR MUNICIPAL COMMISSION BUNGLOW, RAMKRISHNA NAGAR MAIN ROAD,",,,"Jan 17, 2017 - Perpetual",J V EQUITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J. DHIRAJLAL MAGANLAL,INB010010517,Registered Stock Brokers in equity segment,,,,,,,"Nov 26, 1992 - Perpetual",J. DHIRAJLAL MAGANLAL,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J. G. SHAH FINANCIAL CONSULTANTS PRIVATE LIMITED,INZ000209538,Registered Stock Brokers in equity segment,shahknv@rediffmial.com,9102230726303,,"4/418, P. J. Tower, Dalal Street, Fort,",,,"Jan 07, 1998 - Perpetual",J. G. SHAH FINANCIAL CONSULTANTS PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J. G. SHAH FINANCIAL CONSULTANTS PRIVATE LIMITED,INZ000209538,Registered Stock Brokers in equity segment,shahknv@rediffmial.com,9102230726303,,"4/418, P. J. Tower, Dalal Street, Fort,",,,"Jan 07, 1998 - Perpetual",J. G. SHAH FINANCIAL CONSULTANTS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J. G. SHAH FINANCIAL CONSULTANTS PRIVATE LIMITED,INZ000209538,Registered Stock Brokers in equity segment,shahknv@rediffmial.com,9102230726303,,"4/418, P. J. Tower, Dalal Street, Fort,",,,"Jan 07, 1998 - Perpetual",J. G. SHAH FINANCIAL CONSULTANTS PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
J. J. BHABHERA SHARE BROKERS PVT. LTD.,INZ000201535,Registered Stock Brokers in equity segment,nirav@jjbshares.com,9102266721113,,"306 307, SAGAR AVENUE, OPP. SHOPPERS STOP S. V. ROAD, ANDHERI WEST",,,"Oct 26, 2005 - Perpetual",J. J. BHABHERA SHARE BROKERS PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
J. J. BHABHERA SHARE BROKERS PVT. LTD.,INZ000201535,Registered Stock Brokers in Equity Derivative Segment,nirav@jjbshares.com,9102266721113,,"306 307, SAGAR AVENUE, OPP. SHOPPERS STOP S. V. ROAD, ANDHERI WEST",,,"Oct 26, 2005 - Perpetual",J. J. BHABHERA SHARE BROKERS PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J. L. SHAH SECURITIES PVT. LTD.,INZ000199739,Registered Stock Brokers in Equity Derivative Segment,jls_336@jlshah.co.in,0919322227854,,"OFFICE NO 510, HUBTOWN SOLARIS N.S. PHADKE MARG,NEAR EAST WEST FLYOVER ANDHERI EAST",,,"Dec 19, 1997 - Perpetual",J. L. SHAH SECURITIES PVT. LTD.,NSE Clearing Limited,,,,,
J. L. SHAH SECURITIES PVT. LTD.,INZ000199739,Registered Stock Brokers in equity segment,jls_336@jlshah.co.in,0919322227854,,"OFFICE NO 510, HUBTOWN SOLARIS N.S. PHADKE MARG,NEAR EAST WEST FLYOVER ANDHERI EAST",,,"Dec 19, 1997 - Perpetual",J. L. SHAH SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J. L. SHAH SECURITIES PVT. LTD.,INZ000199739,Registered Stock Brokers in Equity Derivative Segment,jls_336@jlshah.co.in,0919322227854,,"OFFICE NO 510, HUBTOWN SOLARIS N.S. PHADKE MARG,NEAR EAST WEST FLYOVER ANDHERI EAST",,,"Dec 19, 1997 - Perpetual",J. L. SHAH SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J. L. SHAH SECURITIES PVT. LTD.,INZ000199739,Registered Stock Brokers in equity segment,jls_336@jlshah.co.in,0919322227854,,"OFFICE NO 510, HUBTOWN SOLARIS N.S. PHADKE MARG,NEAR EAST WEST FLYOVER ANDHERI EAST",,,"Dec 19, 1997 - Perpetual",J. L. SHAH SECURITIES PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
J.G.A. SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in Equity Derivative Segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J.G.A.SHAH SHARE BROKERS P LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J.G.A. SHAH SHARE BROKERS P LTD,INZ000163333,Registered Stock Brokers in Currency Derivative Segment,info@jgashah.com,0919820158104,,"1109, P.J.Tower, Dalal street, Fort",,,"Jan 13, 1998 - Perpetual",J.G.A.SHAH SHARE BROKERS P LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J.P. MORGAN INDIA PRIVATE LTD,INZ000239730,Registered Stock Brokers in Currency Derivative Segment,vidya.pai@jpmorgan.com,9102261573223,,"J .P. MORGAN TOWER,OFF C.S.T. ROAD, KALINA,SANTACRUZ (EAST)",,,"Nov 23, 1994 - Perpetual",J.P. MORGAN INDIA PRIVATE LTD,NSE Clearing Limited,,,,,
J.P. MORGAN INDIA PRIVATE LTD,INZ000239730,Registered Stock Brokers in equity segment,vidya.pai@jpmorgan.com,9102261573223,,"J .P. MORGAN TOWER,OFF C.S.T. ROAD, KALINA,SANTACRUZ (EAST)",,,"Nov 23, 1994 - Perpetual",J.P. MORGAN INDIA PRIVATE LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
J.P. MORGAN INDIA PRIVATE LTD,INZ000239730,Registered Stock Brokers in Equity Derivative Segment,vidya.pai@jpmorgan.com,9102261573223,,"J .P. MORGAN TOWER,OFF C.S.T. ROAD, KALINA,SANTACRUZ (EAST)",,,"Nov 23, 1994 - Perpetual",J.P. MORGAN INDIA PRIVATE LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J.P. MORGAN INDIA PRIVATE LTD,INZ000239730,Registered Stock Brokers in Currency Derivative Segment,vidya.pai@jpmorgan.com,9102261573223,,"J .P. MORGAN TOWER,OFF C.S.T. ROAD, KALINA,SANTACRUZ (EAST)",,,"Nov 23, 1994 - Perpetual",J.P. MORGAN INDIA PRIVATE LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J.P. MORGAN INDIA PRIVATE LTD,INZ000239730,Registered Stock Brokers in Equity Derivative Segment,vidya.pai@jpmorgan.com,9102261573223,,"J .P. MORGAN TOWER,OFF C.S.T. ROAD, KALINA,SANTACRUZ (EAST)",,,"Nov 23, 1994 - Perpetual",J.P. MORGAN INDIA PRIVATE LTD,NSE Clearing Limited,,,,,
J.P. MORGAN INDIA PRIVATE LTD,INZ000239730,Registered Stock Brokers in equity segment,vidya.pai@jpmorgan.com,9102261573223,,"J .P. MORGAN TOWER,OFF C.S.T. ROAD, KALINA,SANTACRUZ (EAST)",,,"Nov 23, 1994 - Perpetual",J.P. MORGAN INDIA PRIVATE LTD,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
J.T. AMIRTHASINGH,INB030528917,Registered Stock Brokers in equity segment,,,,,,,"Nov 23, 1994 - Perpetual",J.T. AMIRTHASINGH & CO.,CALCUTTA STOCK EXCHANGE,,,,,
J.THOMAS INVESTMENT SERVICES PVT LT,INB030581638,Registered Stock Brokers in equity segment,,,,,,,"Apr 08, 1994 - Perpetual",J.THOMAS INVESTMENT SERVICES PVT LT,CALCUTTA STOCK EXCHANGE,,,,,
J.V.S. SECURITIES PRIVATE LIMITED,INZ000281635,Registered Stock Brokers in Equity Derivative Segment,JVSSEC@JVS.CO.IN,9103322489212,,"29,MARTIN BURN BUILDING,4TH FLOOR,1,R.N.MUKHERJEE ROAD,KOLKATA",,,"Jun 07, 1995 - Perpetual",J.V.S. SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J.V.S. SECURITIES PRIVATE LIMITED,INZ000281635,Registered Stock Brokers in equity segment,JVSSEC@JVS.CO.IN,9103322489212,,"29,MARTIN BURN BUILDING,4TH FLOOR,1,R.N.MUKHERJEE ROAD,KOLKATA",,,"Jun 07, 1995 - Perpetual",J.V.S. SECURITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
J.V.S. SECURITIES PRIVATE LIMITED,INZ000281635,Registered Stock Brokers in equity segment,JVSSEC@JVS.CO.IN,9103322489212,,"29,MARTIN BURN BUILDING,4TH FLOOR,1,R.N.MUKHERJEE ROAD,KOLKATA",,,"Jun 07, 1995 - Perpetual",J.V.S. SECURITIES PRIVATE LIMITED,NSE Clearing Limited,,,,,
J.V.S. SECURITIES PRIVATE LIMITED,INZ000281635,Registered Stock Brokers in Equity Derivative Segment,JVSSEC@JVS.CO.IN,9103322489212,,"29,MARTIN BURN BUILDING,4TH FLOOR,1,R.N.MUKHERJEE ROAD,KOLKATA",,,"Jun 07, 1995 - Perpetual",J.V.S. SECURITIES PRIVATE LIMITED,NSE Clearing Limited,,,,,
JADAVJI L. MODHA,INB030512619,Registered Stock Brokers in equity segment,,,,,,,"Feb 25, 1993 - Perpetual",JADAVJI L. MODHA,CALCUTTA STOCK EXCHANGE,,,,,
JADE SECURITIES PVT. LTD.,INZ000272139,Registered Stock Brokers in equity segment,jadesec@yahoo.com,9102224375403,,"DHANLAXMI BUILDING NO.1,3RD FLOOR T.H.KATARIA MARG,MATUNGA ( WEST)",,,"Jan 12, 1996 - Perpetual",JADE SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JADE SECURITIES PVT. LTD.,INZ000272139,Registered Stock Brokers in equity segment,jadesec@yahoo.com,9102224375403,,"DHANLAXMI BUILDING NO.1,3RD FLOOR T.H.KATARIA MARG,MATUNGA ( WEST)",,,"Jan 12, 1996 - Perpetual",JADE SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JADE SECURITIES PVT. LTD.,INZ000272139,Registered Stock Brokers in equity segment,jadesec@yahoo.com,9102224375403,,"DHANLAXMI BUILDING NO.1,3RD FLOOR T.H.KATARIA MARG,MATUNGA ( WEST)",,,"Jan 12, 1996 - Perpetual",JADE SECURITIES PVT. LTD.,NSE Clearing Limited,,,,,
JADE SECURITIES PVT. LTD.,INZ000272139,Registered Stock Brokers in Equity Derivative Segment,jadesec@yahoo.com,9102224375403,,"DHANLAXMI BUILDING NO.1,3RD FLOOR T.H.KATARIA MARG,MATUNGA ( WEST)",,,"Jan 12, 1996 - Perpetual",JADE SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JADE WEALTH MANAGEMENT LLP,INP000009560,Registered Portfolio Managers,info@jadewealth.co.in,0918180860487,0918180860487,"Office No 206, Meter Room No 2, Omkar CHS, Pant Nagar, Near Vegetable Market, Ghatkopar East, MUMBAI, MAHARASHTRA, 400075",Khushal Shivarkar,"Office No 206, Meter Room No 2, Omkar CHS, Pant Nagar, Near Vegetable Market, Ghatkopar East, MUMBAI, MAHARASHTRA, 400075","Jul 21, 2025 - Perpetual",,,,,,,
JAGDISH DALAL SHARES & SECURITIES PVT. LTD.,INZ000232537,Registered Stock Brokers in equity segment,jgdalal@vsnl.net,9102222677293,,"2nd Floor, Engineer House, 86, Mumbai Samachar Marg, Fort,",,,"Dec 23, 1998 - Perpetual",JAGDISH DALAL SHARES & SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAGDISH DALAL SHARES & SECURITIES PVT. LTD.,INZ000232537,Registered Stock Brokers in equity segment,jgdalal@vsnl.net,9102222677293,,"2nd Floor, Engineer House, 86, Mumbai Samachar Marg, Fort,",,,"Dec 23, 1998 - Perpetual",JAGDISH DALAL SHARES & SECURITIES PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
JAGDISH MALKANI,INF230678210,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 02, 2000 - Perpetual",JAGDISH MALKANI,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAGDISH PANALAL GANDHI,INB010009714,Registered Stock Brokers in equity segment,,,,,,,"Nov 26, 1992 - Perpetual",CHAMPAKLAL DEVIDAS,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAGDISH PRASAD BHALOTIA,INB030483315,Registered Stock Brokers in equity segment,,,,,,,"Jan 25, 1993 - Perpetual",J.P. BHALOTIA,CALCUTTA STOCK EXCHANGE,,,,,
JAGDISH PRASAD MAHESWARI,INB030076018,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",JAGDISH PRASAD MAHESWARI,CALCUTTA STOCK EXCHANGE,,,,,
JAGMOHAN KHEMKA,INB030488418,Registered Stock Brokers in equity segment,,,,,,,"Jan 25, 1993 - Perpetual",JAGMOHAN KHEMKA,CALCUTTA STOCK EXCHANGE,,,,,
JAGRUTI SECURITIES LTD,INB010638332,Registered Stock Brokers in equity segment,,,,,,,"Feb 23, 1995 - Perpetual",JAGRUTI SECURITIES LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAGVIN INVESTMENTS PRIVATE LIMITED,INE231248437,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Feb 06, 2009 - Perpetual",JAGVIN INVESTMENTS PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAGVIN INVESTMENTS PVT. LTD.,INF231248437,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jan 06, 2006 - Perpetual",JAGVIN INVESTMENTS PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAHNVI DEEPAK GORADIA,INA000018753,Investment Adviser,connect@jcurvecapital.in,0002221025378,0002221025378,"101, Sahyadri Building, Neelkanth Valley,, 7th Road Rajawadi, Ghatkopar East, MUMBAI, MAHARASHTRA, 400077",Jahnvi Goradia,"101, Sahyadri Building, Neelkanth Valley, 7th Road Rajawadi, Ghatkopar East, MUMBAI, MAHARASHTRA, 400077","Jan 10, 2024 - Perpetual",,,,,,,
JAI KRISHAN JHUNJHUNWALA,INB030667213,Registered Stock Brokers in equity segment,,,,,,,"Nov 23, 1994 - Perpetual",J.K. JHUNJHUNWALA & CO,CALCUTTA STOCK EXCHANGE,,,,,
JAI SINGH BORAR,INB030063315,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",JAI SINGH BORAR,CALCUTTA STOCK EXCHANGE,,,,,
JAIHIND KABRA,INB030447829,Registered Stock Brokers in equity segment,,,,,,,"Dec 22, 1992 - Perpetual",SADASUKH KABRA & CO.,CALCUTTA STOCK EXCHANGE,,,,,
JAIKISHAN DAGA,INB030050719,Registered Stock Brokers in equity segment,,,,,,,"Nov 30, 1992 - Perpetual",DAGA COMPANY,CALCUTTA STOCK EXCHANGE,,,,,
JAIMA SCIENTIFIC VENTURES LLP,INA000021030,Investment Adviser,saurabhscientificventures@gmail.com,00918884550110,00918884550110,"4 A Street, Ground Floor, Musneshwara Temple, Frazer Town, Bengaluru,, BANGALORE, KARNATAKA, 560005",Kumar Saurabh,"4 A Street, Ground Floor, Musneshwara Temple, Frazer Town, Bengaluru, BANGALORE, KARNATAKA, 560005","Sep 24, 2025 - Perpetual",,,,,,,
JAIN BROKING PRIVATE LIMITED,INE261090134,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Apr 27, 2009 - Perpetual",JAIN BROKING PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAIN INVESTMENT ADVISORS PVT. LTD,INP000004979,Registered Portfolio Managers,,02266898307,02266898307,"01 & 02,Andheri Anurag,, Bhardawadi,Near ICICI Colony, Andheri West,Mumbai, MUMBAI, MAHARASHTRA, 400058",HUSEAIN KAIZER BHARUCHWALA,"01 & 02,Andheri Anurag,Bhardawadi , Near ICICI Colony,Andheri West, MUMBAI, MAHARASHTRA, 400058","Jan 05, 2016 - Perpetual",,,jaininvestmentadvisors.com/,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Equity Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,NSE Clearing Limited,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in equity segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in equity segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Currency Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Equity Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Equity Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Currency Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Currency Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
JAINAM BROKING LIMITED,INP000006785,Registered Portfolio Managers,vidhi.parikh@jainam.in,09102616725556,09102616725556,"JAINAM HOUSE, NEW PASSPORT OFFICE ROAD,, PIPLOD, SURAT, GUJARAT, 395007",Vidhi Parikh,"JAINAM HOUSE, NEW PASSPORT OFFICE ROAD, PIPLOD, SURAT, GUJARAT, 395007","Jun 27, 2019 - Perpetual",,,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Currency Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in equity segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Equity Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAINAM BROKING LIMITED,INZ000198735,Registered Stock Brokers in Equity Derivative Segment,corp@jainam.in,9102616725555,,"P03-02C, P03-02D, P03-02E, 3rd Floor, WTC Tower (51A), Road 5E, Block 51, Zone 5, DTA, Gift City",,,"Sep 30, 2004 - Perpetual",JAINAM BROKING LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
JAINAM IFSC MAVENS PRIVATE LIMITED,INZ000179836,Registered Stock Brokers in Equity Derivative Segment,milan.parikh@jainam.in,02616725555,,"Unit No-235, 2nd Floor, Signature Tower, Block -13, Road 1C, Zone-1, GIFT SEZ, GIFT CITY",,,"May 23, 2018 - Perpetual",JAINAM IFSC MAVENS PRIVATE LIMITED,NSE IFSC LIMITED,,,,,
JAIPRAKASH DHANRAJ KHAITAN,INB010010410,Registered Stock Brokers in equity segment,,,,,,,"Nov 26, 1992 - Perpetual",JAIPRAKASH DHANRAJ KHAITAN,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAISAL DINESHCHANDRA SHAH,INA000018805,Investment Adviser,shah.jaisal@gmail.com,919920872747,,"BLOCK NO 303, N-WING, VARDHAMAN NAGAR,, DR. R P ROAD, MULUND WEST,, MUMBAI, MAHARASHTRA, 400080",JAISAL SHAH,"BLOCK NO. 301, GANESH KRUPA, DR. AMBEDKAR ROAD, NEAR BALAJI MANDIR, MULUND WEST, MUMBAI, MAHARASHTRA, 400080","Jan 23, 2024 - Perpetual",,,,,,,
JALAN SHARE BROKING SERVICES PVT.LTD.,INB031051031,Registered Stock Brokers in equity segment,,,,,,,"Feb 15, 1999 - Perpetual",JALAN SHARE BROKING SERVICES PVT.LTD.,CALCUTTA STOCK EXCHANGE,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in equity segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in Equity Derivative Segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in Currency Derivative Segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in equity segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in equity segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in Equity Derivative Segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in Currency Derivative Segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in Equity Derivative Segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,NSE Clearing Limited,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in Equity Derivative Segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
JAMBUWALA COMMODITIES PRIVATE LIMITED,INZ000056036,Registered Stock Brokers in equity segment,CONTACTUS@JAMBUWALA.COM,7926564165,,"405-406 ISCON AVENUE, OPP. CHOICE RETAURENT",,,"Dec 20, 2015 - Perpetual",JAMBUWALA COMMODITIES PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
JAMMS STOCK BROKERS PVT. LTD.,INB011187631,Registered Stock Brokers in equity segment,,,,,,,"Sep 30, 2002 - Perpetual",JAMMS STOCK BROKERS PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
